,code,Mean-Peak,Mean-SD,SD-X,SD-Y,Mean-X,Mean-y
71,"[72, 65, 56, 49]",11.403773,10.808163,0.198869,0.477418,1418.133197,1380.522258
72,"[63, 48]",17.689404,10.059094,0.080231,0.115320,1154.481377,1902.022357
73,"[46, 64, 79, 58]",15.934868,7.260201,0.119957,0.160329,761.361282,103.101432
74,"[46, 65, 57]",11.996519,11.162673,0.294470,0.128133,761.429936,103.026950
75,"[46, 57]",15.478092,12.269632,0.269305,0.111706,761.291439,102.963313
76,"[55, 67, 73, 48]",18.983662,7.263232,0.067961,0.078762,1695.504362,266.175909
77,"[55, 72, 49]",19.350164,12.575335,0.141467,0.059661,175.386142,1214.836590
78,"[46, 76, 69, 62]",14.890632,9.279724,0.103071,0.165720,636.136931,689.272255
79,"[63, 73, 53]",15.263225,9.424822,0.229677,0.157084,895.185108,1836.800904
80,"[63, 72]",16.163019,11.449573,0.009530,0.056102,895.486644,1836.698799
81,"[66, 79]",14.232133,13.326914,0.428382,0.136158,61.562344,1297.718562
82,"[61, 71]",27.219118,0.325279,0.018908,0.012396,1078.665660,661.933859
83,"[72, 70, 55, 53]",17.326729,7.545737,0.224234,0.131220,1221.448101,1315.717262
84,"[71, 52]",20.726831,6.648654,0.207565,0.055091,513.373113,293.152583
85,"[72, 61, 64, 53]",17.900645,8.097226,0.071264,0.085265,217.977753,1260.037222
86,"[61, 65, 77, 48]",18.394959,9.397688,0.088417,0.293357,1411.895235,164.877832
87,"[70, 55, 53]",19.533666,6.744928,0.061557,0.040868,1750.582206,414.322699
88,"[55, 66]",21.382424,5.729154,0.016943,0.107572,2014.300516,244.354624
89,"[77, 63, 48]",16.027676,10.927461,0.378665,0.179751,1156.856155,292.262716
90,"[65, 56]",24.402883,2.478956,0.117374,0.058143,1613.002351,971.556409
91,"[46, 58, 74, 63]",19.749133,6.917456,0.121627,0.288578,144.606177,2021.182494
92,"[76, 61]",28.036799,1.196913,0.042457,0.004601,535.680534,1976.107318
93,"[76, 57, 53, 71]",14.878496,11.402858,0.281946,0.175269,547.945103,673.337203
